IRIS,COM
103230101,10323
103230102,10323
103230103,10323
103230104,10323
103230201,10323
103230202,10323
103330101,10333
103330102,10333
103330103,10333
103330201,10333
103330202,10333
103870201,10387
103870202,10387
103870203,10387
103870204,10387
103870301,10387
103870302,10387
103870401,10387
103870501,10387
103870502,10387
103870601,10387
103870603,10387
103870702,10387
103870801,10387
103870802,10387
103870901,10387
103871001,10387
103871002,10387
103871003,10387
103871004,10387
103871101,10387
103871102,10387
103871103,10387
103871104,10387
110690101,11069
110690102,11069
110690103,11069
110690201,11069
110690202,11069
110690203,11069
110690301,11069
110690302,11069
110690401,11069
110690402,11069
110690501,11069
110690601,11069
110690702,11069
110690703,11069
110690801,11069
110690903,11069
110690904,11069
112030101,11203
112030102,11203
112030104,11203
112030105,11203
112030106,11203
112060101,11206
112060102,11206
112060103,11206
112060104,11206
112620101,11262
112620102,11262
112620103,11262
112620104,11262
112620201,11262
112620202,11262
112620203,11262
112620206,11262
112620207,11262
112620301,11262
112620302,11262
112620303,11262
112620304,11262
112620305,11262
112620401,11262
112620402,11262
112620403,11262
112620501,11262
112620502,11262
112620503,11262
112620504,11262
112620505,11262
112620602,11262
112620603,11262
121760201,12176
121760301,12176
121760401,12176
123000102,12300
123000103,12300
123000104,12300
123000105,12300
123000106,12300
130010101,13001
130010102,13001
130010103,13001
130010104,13001
130010105,13001
130010202,13001
130010203,13001
130010204,13001
130010205,13001
130010206,13001
130010301,13001
130010302,13001
130010303,13001
130010304,13001
130010305,13001
130010306,13001
130010307,13001
130010401,13001
130010402,13001
130010403,13001
130010404,13001
130010502,13001
130010503,13001
130010504,13001
130010505,13001
130010506,13001
130010605,13001
130010707,13001
130010709,13001
130010710,13001
130010711,13001
130010801,13001
130010802,13001
130010803,13001
130010804,13001
130010901,13001
130010902,13001
130010903,13001
130010905,13001
130010906,13001
130010907,13001
130010908,13001
130040101,13004
130040102,13004
130040103,13004
130040104,13004
130040105,13004
130040107,13004
130040108,13004
130040110,13004
130040111,13004
130040112,13004
130040113,13004
130040115,13004
130040116,13004
130040117,13004
130040118,13004
130040119,13004
130040120,13004
130040121,13004
130040122,13004
130040123,13004
130040124,13004
130040125,13004
130050101,13005
130050102,13005
130050201,13005
130050202,13005
130050301,13005
130050302,13005
130050401,13005
130050402,13005
130050403,13005
130050501,13005
130050502,13005
130050601,13005
130050602,13005
130050701,13005
130050702,13005
130050703,13005
130050704,13005
130050705,13005
130050706,13005
130140102,13014
130140103,13014
130140104,13014
130140105,13014
130140106,13014
130270101,13027
130270102,13027
130270103,13027
130270104,13027
130270105,13027
130270106,13027
130470101,13047
130470102,13047
130470103,13047
130470104,13047
130470105,13047
130470106,13047
130470108,13047
130470109,13047
130470110,13047
130470111,13047
130470112,13047
130470113,13047
130470114,13047
130470116,13047
130470117,13047
130540101,13054
130540102,13054
130540104,13054
130540105,13054
130540106,13054
130540107,13054
130540108,13054
130540109,13054
130540110,13054
130540111,13054
130540112,13054
130540113,13054
130540114,13054
130540115,13054
130560101,13056
130560102,13056
130560103,13056
130560104,13056
130560105,13056
130560106,13056
130560107,13056
130560108,13056
130560109,13056
130560110,13056
130560111,13056
130560113,13056
130560114,13056
130560115,13056
130560116,13056
130560118,13056
130560120,13056
130630101,13063
130630102,13063
130630103,13063
130630104,13063
130630105,13063
130630106,13063
130630108,13063
130630109,13063
130630110,13063
130770101,13077
130770102,13077
130770103,13077
130770104,13077
130770105,13077
130770106,13077
131030101,13103
131030102,13103
131030103,13103
131030104,13103
131030105,13103
131030107,13103
131030108,13103
131030109,13103
131030110,13103
131030112,13103
131030113,13103
131030114,13103
131030115,13103
131060101,13106
131060102,13106
131060103,13106
131060104,13106
131080101,13108
131080102,13108
131080103,13108
131080104,13108
131080105,13108
131170101,13117
131170102,13117
131170103,13117
131170104,13117
131170105,13117
131170106,13117
131170107,13117
131170108,13117
131170109,13117
131170110,13117
131170111,13117
131170112,13117
131170202,13117
131170203,13117
131170204,13117
131170205,13117
131170206,13117
131170207,13117
131170209,13117
141180101,14118
141180102,14118
141180201,14118
141180202,14118
141180301,14118
141180302,14118
141180303,14118
141180401,14118
141180402,14118
141180501,14118
141180502,14118
141180601,14118
141180701,14118
141180702,14118
141180801,14118
141180802,14118
141180803,14118
141180804,14118
141180902,14118
141180903,14118
141180904,14118
141181001,14118
141181101,14118
141181102,14118
141181201,14118
