iris,com,libcom,taux_pauvrete,revenu_median,annee
010040101,01004,Ambérieu-en-Bugey,20.2298850574713,17964.0,2012
010040102,01004,Ambérieu-en-Bugey,22.1320973348783,16441.1666666667,2012
010040201,01004,Ambérieu-en-Bugey,13.679180887372,18736.4,2012
010040202,01004,Ambérieu-en-Bugey,7.71941416143597,22509.0476190476,2012
010330101,01033,Bellegarde-sur-Valserine,19.9611650485437,18262.380952381,2012
010330102,01033,Bellegarde-sur-Valserine,20.8274398868458,17433.5,2012
010330201,01033,Bellegarde-sur-Valserine,12.4879180359559,21920.6666666667,2012
010330202,01033,Bellegarde-sur-Valserine,22.3343732795008,16747.619047619,2012
010330301,01033,Bellegarde-sur-Valserine,15.4116612950483,19308.0,2012
010530101,01053,Bourg-en-Bresse,17.4422285533397,17803.0,2012
010530102,01053,Bourg-en-Bresse,15.0810245687402,19233.4166666667,2012
010530103,01053,Bourg-en-Bresse,15.2666879591185,19520.0,2012
010530201,01053,Bourg-en-Bresse,12.9793510324484,19139.1304347826,2012
010530202,01053,Bourg-en-Bresse,23.0825958702065,16103.5,2012
010530203,01053,Bourg-en-Bresse,14.759445501495,18765.8536585366,2012
010530301,01053,Bourg-en-Bresse,9.72420837589377,21516.0,2012
010530302,01053,Bourg-en-Bresse,13.1248829807152,18635.625,2012
010530401,01053,Bourg-en-Bresse,19.8990785432207,17302.0,2012
010530402,01053,Bourg-en-Bresse,,20297.7777777778,2012
010530501,01053,Bourg-en-Bresse,,22184.0,2012
010530502,01053,Bourg-en-Bresse,12.7675141759649,19492.0,2012
010530503,01053,Bourg-en-Bresse,35.6664506372867,13707.5,2012
010530601,01053,Bourg-en-Bresse,30.0537412153783,14561.3043478261,2012
010530602,01053,Bourg-en-Bresse,33.9680905815749,14222.1739130435,2012
010530603,01053,Bourg-en-Bresse,39.4117647058824,13150.5,2012
010530604,01053,Bourg-en-Bresse,,19819.0,2012
010530701,01053,Bourg-en-Bresse,14.1167192429022,18556.6666666667,2012
012830102,01283,Oyonnax,33.0480579328506,13946.5517241379,2012
012830103,01283,Oyonnax,29.8793103448276,14401.0,2012
012830104,01283,Oyonnax,39.5442930153322,13071.6666666667,2012
012830201,01283,Oyonnax,18.4152061219452,17393.8095238095,2012
012830202,01283,Oyonnax,19.2335329341317,17463.2142857143,2012
012830203,01283,Oyonnax,30.9440559440559,15038.6666666667,2012
012830301,01283,Oyonnax,20.5853847644892,17230.6666666667,2012
012830303,01283,Oyonnax,18.9507010402533,17400.5555555556,2012
012830304,01283,Oyonnax,13.8488422892093,18527.2,2012
012830305,01283,Oyonnax,,23550.0,2012
021680101,02168,Château-Thierry,22.7180269514366,16814.8095238095,2012
021680201,02168,Château-Thierry,12.4290998766954,19251.3043478261,2012
021680401,02168,Château-Thierry,14.4872101362658,17781.0714285714,2012
021680501,02168,Château-Thierry,,12722.3846153846,2012
021680601,02168,Château-Thierry,,21354.4444444444,2012
021680701,02168,Château-Thierry,,16564.0,2012
021730101,02173,Chauny,36.2190614850487,13843.5,2012
021730201,02173,Chauny,23.6633439057544,16506.6666666667,2012
021730301,02173,Chauny,17.5593594699061,18320.6896551724,2012
024080101,02408,Laon,49.8184751916095,11920.6666666667,2012
024080102,02408,Laon,62.6060400407194,10327.1428571429,2012
024080103,02408,Laon,49.0558912386707,12118.8,2012
024080201,02408,Laon,25.0241080038573,16239.0476190476,2012
024080301,02408,Laon,20.8502572434335,17711.6666666667,2012
024080401,02408,Laon,,20271.6,2012
