code,revenu_median,taux_pauvrete,part_monoparental,part_locataires,annee,gini,s80s20
QP001001,13748.0,34.9,14.1,86.1,2012,,
QP001002,12497.0,44.5,14.0,,2012,,
QP001003,14922.0,28.4,15.8,81.7,2012,,
QP001004,13395.0,38.4,22.0,,2012,,
QP001005,13118.0,39.0,17.8,94.4,2012,,
QP001006,12945.0,40.3,16.1,95.0,2012,,
QP001007,12701.0,40.5,,,2012,,
QP001008,11752.0,51.3,,95.0,2012,,
QP001009,12792.0,40.9,,92.6,2012,,
QP002001,12321.0,46.9,18.8,84.2,2012,,
QP002002,13663.0,38.4,15.7,73.2,2012,,
QP002003,12609.0,44.9,22.8,95.0,2012,,
QP002004,11428.0,53.7,18.9,84.5,2012,,
QP002005,11978.0,49.6,21.2,74.3,2012,,
QP002006,13567.0,39.2,,65.9,2012,,
QP002007,12242.0,46.8,23.9,84.8,2012,,
QP002008,11531.0,52.2,20.2,81.4,2012,,
QP002009,10944.0,58.0,24.7,94.4,2012,,
QP002010,12262.0,47.2,19.1,92.5,2012,,
QP002011,10932.0,59.4,21.7,90.0,2012,,
QP002012,12818.0,42.9,17.6,95.0,2012,,
QP002013,11556.0,53.0,20.6,,2012,,
QP002014,9776.0,67.7,21.8,,2012,,
QP002015,13188.0,40.7,16.9,95.0,2012,,
QP002016,12657.0,43.3,27.9,95.0,2012,,
QP002017,12259.0,46.9,23.3,94.9,2012,,
QP003001,13607.0,37.9,15.4,76.7,2012,,
QP003002,12828.0,42.6,20.5,94.3,2012,,
QP003003,13339.0,39.5,18.2,87.1,2012,,
QP003004,13223.0,41.9,15.0,73.8,2012,,
QP003005,12355.0,46.3,18.2,,2012,,
QP003006,11024.0,56.5,26.7,,2012,,
QP004001,13205.0,40.5,14.8,78.7,2012,,
QP004002,13826.0,34.8,14.9,69.2,2012,,
QP004003,12689.0,43.7,12.7,67.6,2012,,
QP005001,14583.0,31.6,16.5,67.7,2012,,
QP006001,13389.0,35.5,24.8,,2012,,
QP006002,13059.0,40.2,14.6,72.8,2012,,
QP006003,14083.0,32.4,19.4,83.1,2012,,
QP006004,14043.0,30.3,18.0,85.2,2012,,
QP006005,13448.0,38.4,17.2,75.8,2012,,
QP006006,13389.0,34.7,21.9,,2012,,
QP006007,13935.0,37.5,18.6,52.3,2012,,
QP006008,14196.0,30.8,21.6,94.6,2012,,
QP006009,8281.0,87.0,,,2012,,
QP006010,12395.0,44.7,21.0,,2012,,
QP006011,11334.0,52.0,,78.9,2012,,
QP006012,13903.0,36.7,13.0,64.2,2012,,
QP006013,13054.0,40.7,19.7,79.6,2012,,
QP006014,12638.0,44.2,15.2,67.4,2012,,
QP006015,14814.0,33.6,14.7,72.9,2012,,
QP006016,12730.0,44.1,15.6,70.1,2012,,
QP007001,12401.0,46.7,13.7,78.5,2012,,
QP007002,13924.0,34.6,13.9,71.0,2012,,
QP007003,12360.0,45.2,16.3,78.2,2012,,
QP007004,13055.0,39.9,14.7,88.2,2012,,
QP007005,12734.0,44.1,16.6,88.3,2012,,
QP008001,11562.0,52.8,17.2,95.0,2012,,
QP008002,11057.0,57.2,19.9,91.4,2012,,
QP008003,12077.0,47.6,17.6,95.0,2012,,
QP008004,13346.0,40.5,16.2,86.9,2012,,
QP008005,11947.0,49.0,,88.3,2012,,
