qp,nom_qp,reg,epci1,epci2,uu,disp_q1_A13,disp_q2_A13,disp_q3_A13,disp_q1q3q2_A13,disp_d1_A13,disp_d2_A13,disp_d3_A13,disp_d4_A13,disp_d6_A13,disp_d7_A13,disp_d8_A13,disp_d9_A13,disp_d1d9_A13,disp_gini_A13,disp_s80s20_A13,disp_pact_A13,disp_ppen_A13,disp_ppat_A13,disp_ppsoc_A13,disp_ppfam_A13,disp_ppmini_A13,disp_pplogt_A13,disp_pimpot_A13,QP,TP60_A13,PART_MONOP_A13,PART_MEN5_A13,PART_LOCAT_A13,PART_CHOMPRINC_A13,_merge,code_final
QP001001,Grande Reyssouze Terre Des Fleurs,84.0,240100628.0,,01501,10348.0,13501.0,17649.0,0.5,7953.0,9617.0,11081.0,12290.0,15043.0,16699.0,18745.0,22050.0,2.8,0.2,3.3,56.1,31.8,4.2,17.3,5.2,6.2,5.9,-9.4,QP001001,38.6,13.8,10.1,86.1,7.3,both,QP001001
QP001002,Croix Blanche,84.0,240100628.0,,01501,9657.0,12555.0,15934.0,0.5,7139.0,8962.0,10469.0,11561.0,13889.0,15188.0,16795.0,18930.0,2.7,0.2,2.9,55.6,23.8,2.1,25.4,5.8,10.6,8.9,-6.9,QP001002,46.2,13.3,8.7,,,both,QP001002
QP001003,Quartier Jacques Prévert,84.0,240100750.0,,00652,11476.0,14706.0,22252.0,0.7,8228.0,10263.0,12087.0,13414.0,17096.0,20329.0,24539.0,36417.0,4.4,0.3,5.6,82.7,14.4,4.6,9.9,3.9,2.3,3.7,-11.6,QP001003,30.4,14.6,11.7,82.3,,both,QP001003
QP001004,Levant - Tattes,84.0,240100750.0,,00652,10616.0,13812.0,18846.0,0.6,7935.0,9642.0,10910.0,12162.0,15632.0,17221.0,20210.0,25890.0,3.3,0.3,4.1,75.9,16.8,3.7,13.6,4.9,3.9,4.8,-10.0,QP001004,39.9,20.7,16.0,,,both,QP001004
QP001005,Les Courbes De L'Albarine,84.0,240100883.0,,01302,9984.0,12724.0,16654.0,0.5,7725.0,9278.0,10559.0,11688.0,13975.0,15545.0,17721.0,20955.0,2.7,0.2,2.9,62.9,21.0,3.1,21.5,7.0,7.1,7.3,-8.5,QP001005,42.9,20.1,9.7,,,both,QP001005
QP001006,La Plaine - La Forge,84.0,200042935.0,,01401,10398.0,13325.0,16555.0,0.5,8057.0,9746.0,11044.0,12068.0,14536.0,15814.0,17435.0,19845.0,2.5,0.2,2.7,59.9,25.7,2.5,19.2,7.7,5.1,6.3,-7.3,QP001006,40.1,15.2,16.9,,8.2,both,QP001006
QP001007,Pré Des Saules,84.0,200042935.0,,01401,10958.0,13128.0,16553.0,0.4,8825.0,10356.0,11541.0,12461.0,14343.0,15822.0,17582.0,20081.0,2.3,0.2,2.6,70.2,13.8,1.9,22.2,8.4,6.2,7.7,-8.1,QP001007,36.6,,15.0,,,both,QP001007
QP001008,Brillat - Savarin,84.0,200040350.0,,01205,9296.0,12362.0,15039.0,0.5,7072.0,8560.0,10301.0,11198.0,13539.0,14386.0,15866.0,18753.0,2.7,0.2,3.1,59.0,21.8,2.7,23.7,8.4,8.5,6.8,-7.2,QP001008,49.1,,17.3,,,both,QP001008
QP001009,Maladière,84.0,240100610.0,,00758,10407.0,13496.0,17535.0,0.5,8458.0,10103.0,11185.0,12233.0,15012.0,16401.0,19222.0,22671.0,2.7,0.2,3.0,72.0,18.5,3.4,15.9,6.0,4.8,5.0,-9.8,QP001009,38.9,,16.0,,,both,QP001009
QP002001,Europe,32.0,240200261.0,,02501,9129.0,12424.0,16986.0,0.6,7314.0,8635.0,9696.0,10907.0,13985.0,16060.0,18222.0,22167.0,3.0,0.3,3.6,40.4,42.1,4.9,21.6,5.7,8.6,7.3,-9.0,QP002001,47.5,18.3,9.1,84.5,8.9,both,QP002001
QP002002,Faubourg D'Isle,32.0,240200261.0,,02501,10298.0,13800.0,18312.0,0.6,7879.0,9513.0,11069.0,12473.0,15443.0,17301.0,19689.0,23612.0,3.0,0.3,3.8,61.3,27.5,4.6,17.6,4.8,6.9,5.9,-11.0,QP002002,37.3,15.6,7.4,73.6,,both,QP002002
QP002003,Neuville,32.0,240200261.0,,02501,9394.0,12702.0,16325.0,0.5,7346.0,8885.0,10176.0,11288.0,14000.0,15524.0,17335.0,19788.0,2.7,0.2,2.9,49.5,29.9,2.0,25.8,6.0,10.7,9.2,-7.2,QP002003,46.5,23.1,7.8,,,both,QP002003
QP002004,Vermandois,32.0,240200261.0,,02501,8825.0,11308.0,15290.0,0.6,7425.0,8425.0,9417.0,10238.0,12507.0,14181.0,16487.0,19128.0,2.6,0.2,3.1,45.4,27.0,2.8,31.3,6.4,14.8,10.1,-6.5,QP002004,57.5,18.5,8.5,84.4,,both,QP002004
QP002005,Champ Roland Et Bords De L'Oise,32.0,240200600.0,,02302,9068.0,12381.0,16529.0,0.6,7146.0,8503.0,9669.0,11089.0,13629.0,15640.0,18066.0,22621.0,3.2,0.3,3.7,45.2,31.0,6.5,25.8,5.5,11.6,8.7,-8.5,QP002005,48.0,21.1,7.6,73.1,,both,QP002005
QP002006,Gare Et Verrière,32.0,240200600.0,,02302,9517.0,13984.0,18229.0,0.6,7986.0,8937.0,10381.0,12329.0,15661.0,17575.0,19680.0,23961.0,3.0,0.3,3.7,50.5,33.5,6.9,18.4,4.2,7.9,6.3,-9.3,QP002006,38.5,,,66.1,,both,QP002006
QP002007,Quartier De L'Artilleur,32.0,240200428.0,,02402,9309.0,12313.0,16532.0,0.6,7600.0,8875.0,9781.0,11249.0,13785.0,15563.0,17404.0,21930.0,2.9,0.3,3.8,60.1,20.9,6.0,23.3,6.7,9.0,7.6,-10.3,QP002007,48.2,24.9,10.8,,,both,QP002007
QP002008,Roosevelt Rebequet,32.0,240200683.0,,02402,8602.0,11802.0,15633.0,0.6,6753.0,8131.0,9163.0,10620.0,12933.0,14782.0,17392.0,21819.0,3.2,0.3,4.0,53.0,23.7,4.6,27.1,7.3,11.1,8.7,-8.4,QP002008,51.8,18.9,11.4,81.1,,both,QP002008
QP002009,Quartier De La Résidence,32.0,240200683.0,,02303,8589.0,11235.0,14735.0,0.5,7023.0,8161.0,9098.0,10105.0,12582.0,13709.0,15947.0,18423.0,2.6,0.2,3.1,45.9,24.3,2.4,33.5,6.9,15.1,11.4,-6.1,QP002009,55.8,25.2,9.0,,,both,QP002009
QP002010,Montreuil,32.0,200043495.0,,02403,9285.0,12327.0,16333.0,0.6,7242.0,8821.0,9795.0,10997.0,13417.0,15304.0,17208.0,20496.0,2.8,0.2,3.3,45.4,33.3,4.0,25.7,5.2,11.7,8.8,-8.4,QP002010,48.0,17.9,7.0,,,both,QP002010
QP002011,Champagne Moulin - Roux,32.0,200043495.0,,02403,8462.0,10948.0,14567.0,0.6,6630.0,8005.0,8917.0,9805.0,12230.0,13762.0,15567.0,18958.0,2.9,0.2,3.3,46.0,25.9,3.1,32.0,8.7,13.0,10.3,-7.0,QP002011,59.0,20.8,12.0,90.2,12.1,both,QP002011
QP002012,Saint-Crépin Ouest,32.0,240200477.0,,02404,9746.0,12717.0,16433.0,0.5,7482.0,8840.0,10373.0,11628.0,14092.0,15575.0,17503.0,20193.0,2.7,0.2,3.0,47.8,33.1,2.5,23.5,4.0,11.6,7.9,-6.9,QP002012,44.9,18.7,5.0,,10.1,both,QP002012
QP002013,Presles,32.0,240200477.0,,02404,8839.0,11603.0,14964.0,0.5,7237.0,8433.0,9420.0,10564.0,12723.0,14148.0,15913.0,18667.0,2.6,0.2,2.9,54.8,20.5,1.8,29.3,8.1,11.7,9.5,-6.4,QP002013,55.1,21.9,13.2,,13.2,both,QP002013
QP002014,Chevreux,32.0,240200477.0,,02404,8515.0,10639.0,13040.0,0.4,6714.0,7924.0,8930.0,9771.0,11625.0,12304.0,13874.0,16464.0,2.5,0.2,2.7,44.1,13.6,1.4,45.4,15.0,16.7,13.7,-4.5,QP002014,65.6,22.8,24.6,,,both,QP002014
