code,revenu_median,taux_pauvrete,gini,s80s20,annee
QP001001,13690.0,40.0,0.228,3.184,2016
QP001002,12280.0,52.1,0.2,2.863,2016
QP001003,15420.0,31.1,0.356,6.287,2016
QP001004,13870.0,41.5,0.277,3.898,2016
QP001005,12940.0,45.6,0.229,3.296,2016
QP001006,13340.0,41.9,0.195,2.697,2016
QP001007,13190.0,44.4,0.206,2.762,2016
QP001008,11940.0,55.5,0.196,2.608,2016
QP001009,13510.0,40.9,0.222,3.055,2016
QP002001,12640.0,49.5,0.244,3.295,2016
QP002002,14280.0,37.3,0.249,3.414,2016
QP002003,12890.0,47.1,0.22,3.017,2016
QP002004,11830.0,56.7,0.226,3.069,2016
QP002005,12480.0,50.0,0.261,3.719,2016
QP002006,13110.0,44.3,0.26,3.575,2016
QP002007,12490.0,50.0,0.266,3.608,2016
QP002008,12340.0,50.6,0.26,3.493,2016
QP002009,11460.0,58.2,0.217,2.96,2016
QP002010,12180.0,51.4,0.247,3.415,2016
QP002011,11290.0,60.1,0.235,3.249,2016
QP002012,13220.0,43.5,0.197,2.714,2016
QP002013,11810.0,55.9,0.218,3.068,2016
QP002014,10530.0,63.8,0.192,2.553,2016
QP002015,13830.0,39.9,0.209,2.842,2016
QP002016,13280.0,45.6,0.218,2.968,2016
QP002017,12470.0,50.5,0.213,2.925,2016
QP003001,14030.0,39.4,0.267,3.86,2016
QP003002,12910.0,46.4,0.211,2.835,2016
QP003003,13780.0,40.4,0.23,3.204,2016
QP003004,13940.0,41.1,0.275,4.036,2016
QP003005,12690.0,47.4,0.205,2.856,2016
QP003006,11520.0,57.7,0.219,2.923,2016
QP004001,13290.0,41.4,0.264,3.737,2016
QP004002,14800.0,34.1,0.259,3.813,2016
QP004003,13400.0,42.8,0.252,3.631,2016
QP005001,14350.0,40.3,0.257,3.495,2016
QP006001,13820.0,40.0,0.22,3.149,2016
QP006002,13970.0,39.6,0.255,3.687,2016
QP006003,14760.0,32.2,0.206,2.895,2016
QP006004,14900.0,30.0,0.201,2.719,2016
QP006005,14380.0,38.4,0.261,3.926,2016
QP006006,13640.0,40.1,0.196,2.629,2016
QP006007,14610.0,35.6,0.224,3.262,2016
QP006008,14730.0,31.9,0.206,2.88,2016
QP006009,10320.0,83.0,0.217,3.301,2016
QP006010,12630.0,48.3,0.212,2.96,2016
QP006011,12260.0,51.7,0.242,3.414,2016
QP006012,14430.0,36.1,0.294,4.596,2016
QP006013,13190.0,44.1,0.226,3.183,2016
QP006014,12840.0,47.3,0.225,3.216,2016
QP006015,14910.0,31.7,0.257,3.789,2016
QP006016,13760.0,42.4,0.308,5.094,2016
QP007001,12650.0,48.7,0.265,3.791,2016
QP007002,13640.0,41.2,0.251,3.697,2016
QP007003,12660.0,48.4,0.245,3.307,2016
QP007004,12650.0,48.8,0.23,3.176,2016
QP007005,13030.0,45.5,0.244,3.522,2016
QP008001,12360.0,51.2,0.221,2.981,2016
QP008002,11390.0,58.6,0.213,2.867,2016
QP008003,12250.0,53.0,0.219,2.96,2016
QP008004,13860.0,43.1,0.266,3.706,2016
QP008005,13090.0,44.1,0.222,2.878,2016
QP008006,14520.0,36.7,0.274,3.806,2016
QP008007,12290.0,51.7,0.228,3.094,2016
QP008008,13530.0,43.6,0.26,3.628,2016
QP009001,13700.0,40.7,0.281,3.952,2016
QP009002,14270.0,37.2,0.312,4.885,2016
QP009003,13420.0,42.8,0.27,3.969,2016
QP010001,13450.0,43.5,0.282,4.0,2016
QP010002,13990.0,37.3,0.211,2.936,2016
QP010003,12450.0,50.4,0.206,2.835,2016
QP010004,13030.0,45.2,0.193,2.7030000000000003,2016
QP010005,12620.0,49.8,0.262,3.762,2016
QP010006,11650.0,56.6,0.22,3.104,2016
QP010007,10670.0,67.7,0.227,3.269,2016
QP010008,11650.0,58.4,0.229,3.189,2016
QP010009,12400.0,50.4,0.192,2.619,2016
QP010010,12010.0,51.6,0.224,3.107,2016
QP011001,13690.0,39.6,0.287,4.104,2016
QP011002,11570.0,57.7,0.255,3.667,2016
QP011003,10400.0,66.5,0.23,3.212,2016
QP011004,13840.0,41.3,0.323,5.013,2016
QP011005,11670.0,57.0,0.265,3.823,2016
QP011006,12870.0,47.0,0.24,3.186,2016
QP011007,11860.0,54.8,0.24,3.233,2016
QP011008,13350.0,43.0,0.303,4.599,2016
QP011009,11510.0,60.2,0.231,3.173,2016
QP011010,13490.0,43.3,0.294,4.524,2016
QP012001,12880.0,45.6,0.222,3.187,2016
QP012002,12900.0,46.1,0.267,3.891,2016
QP013001,11230.0,59.5,0.26,3.763,2016
QP013002,15060.0,28.5,0.2,2.77,2016
QP013003,14020.0,38.8,0.229,3.171,2016
QP013004,15990.0,21.3,0.181,2.468,2016
QP013005,12270.0,51.8,0.234,3.275,2016
QP013006,13950.0,37.7,0.215,2.938,2016
QP013007,12220.0,52.1,0.215,2.926,2016
QP013008,12680.0,48.2,0.207,2.801,2016
QP013009,14850.0,34.3,0.233,3.3,2016
QP013010,12480.0,50.0,0.203,2.817,2016
QP013011,12390.0,51.0,0.212,2.926,2016
QP013012,13100.0,44.8,0.206,2.8280000000000003,2016
QP013013,12240.0,51.4,0.301,4.769,2016
QP013014,14260.0,36.4,0.213,2.962,2016
QP013015,12870.0,46.1,0.207,2.834,2016
QP013016,13870.0,39.9,0.218,3.035,2016
QP013017,12690.0,49.1,0.22,3.085,2016
QP013018,13340.0,41.4,0.207,2.857,2016
QP013019,14270.0,31.9,0.2,2.792,2016
QP013020,13920.0,38.1,0.197,2.742,2016
QP013021,12730.0,47.7,0.209,2.806,2016
QP013022,13380.0,41.7,0.211,2.9370000000000003,2016
QP013023,13760.0,38.1,0.199,2.753,2016
QP013024,13720.0,40.4,0.226,3.085,2016
QP013025,14660.0,32.7,0.217,3.044,2016
QP013026,15170.0,31.5,0.24,3.482,2016
QP013027,13570.0,40.6,0.268,3.985,2016
QP013028,13730.0,39.7,0.208,2.85,2016
QP013029,12600.0,48.9,0.195,2.681,2016
QP013030,14620.0,33.3,0.214,2.928,2016
QP013031,13830.0,41.9,0.253,3.855,2016
QP013032,12170.0,52.0,0.301,4.764,2016
QP013033,13520.0,40.4,0.237,3.375,2016
