code,nom_qp,insee_com,lib_com
QP001005,Les Courbes De L'Albarine,1004,Ambérieu-en-Bugey
QP001006,La Plaine - La Forge,1283,Oyonnax
QP001007,Pré Des Saules,1031,Bellignat
QP001008,Brillat - Savarin,1034,Belley
QP001001,Grande Reyssouze Terre Des Fleurs,1053,Bourg-en-Bresse
QP001002,Croix Blanche,1053,Bourg-en-Bresse
QP001003,Quartier Jacques Prévert,,
QP001004,Levant - Tattes,,
QP001009,Maladière,1262,Montluel
QP002016,Blanchard,2168,Château-Thierry
QP002017,Vaucrises,2168,Château-Thierry
QP002008,Roosevelt Rebequet,2738,Tergnier
QP002009,Quartier De La Résidence,2173,Chauny
QP002007,Quartier De L'Artilleur,2304,La Fère
QP002005,Champ Roland Et Bords De L'Oise,2381,Hirson
QP002006,Gare Et Verrière,2381,Hirson
QP002010,Montreuil,2408,Laon
QP002011,Champagne Moulin - Roux,2408,Laon
QP002001,Europe,02571; 02691,Omissy; Saint-Quentin
QP002002,Faubourg D'Isle,2691,Saint-Quentin
QP002003,Neuville,2691,Saint-Quentin
QP002004,Vermandois,2691,Saint-Quentin
QP002012,Saint-Crépin Ouest,2722,Soissons
QP002013,Presles,2722,Soissons
QP002014,Chevreux,2722,Soissons
QP002015,Route De Vivières,2810,Villers-Cotterêts
QP003001,Coeur D'Agglo,03095; 03310,Cusset; Vichy
QP003002,Les Ailes,3310,Vichy
QP003004,Rive Gauche,3185,Montluçon
QP003005,Fontbouillant,03185; 03211,Montluçon; Prémilhat
QP003006,Bien-Assis,03101; 03185,Domérat; Montluçon
QP003003,Moulins-Sud,3190,Moulins
QP004001,Centre Ville - Pigeonnier,4070,Digne-les-Bains
QP004002,Centre Ville - Saint-Lazare,4112,Manosque
QP004003,Arc Serrets - Plantiers - Aliziers,4112,Manosque
QP005001,Haut - Gap,5061,Gap
QP006003,Ranguin-Frayère,06029; 06030,Cannes; Le Cannet
QP006004,Genêts - Oliviers - Saint-Pierre,06029; 06030,Cannes; Le Cannet
QP006001,Las Planas,6088,Nice
QP006008,Centre,6033,Carros
QP006009,Résidence Sociale Nicéa,,
QP006010,Les Moulins - Le Point Du Jour,06088; 06123,Nice; Saint-Laurent-du-Var
QP006011,Les Sagnes,6088,Nice
QP006012,Centre,6088,Nice
QP006013,Paillon,6088,Nice
QP006014,Ariane - Le Manoir,06088; 06114; 06149,Nice; Saint-André-de-la-Roche; La Trinité
QP006015,Palais Des Expositions,,
QP006016,Centre,6157,Vence
QP006007,La Condamine,6054,Drap
QP006005,Grand Centre,6069,Grasse
QP006006,Les Fleurs De Grasse,6069,Grasse
QP006002,Coeur De Ville - Hauts De Vallauris,6155,Vallauris
QP007004,Les Hauts De Ville,7010,Annonay
QP007001,Le Contrat Ville Des Quartiers D'Avenir D'Aubenas,7019,Aubenas
QP007005,Nouvel Horizon,7186,Privas
QP007002,Coeur De Ville,7319,Le Teil
QP007003,Sud Avenir,7319,Le Teil
QP008001,Manchester,8105,Charleville-Mézières
QP008002,Ronde Couture,8105,Charleville-Mézières
QP008003,La Houillère,8105,Charleville-Mézières
QP008004,La Couronne,8105,Charleville-Mézières
QP008005,Torcy Cités,8409,Sedan
