code,taux_pauvrete_pre,nom_qp,insee_com,lib_com
QP001001,37.43333333333333,Grande Reyssouze Terre Des Fleurs,1053,Bourg-en-Bresse
QP001002,46.0,Croix Blanche,1053,Bourg-en-Bresse
QP001005,41.266666666666666,Les Courbes De L'Albarine,1004,Ambérieu-en-Bugey
QP001006,40.1,La Plaine - La Forge,1283,Oyonnax
QP001007,38.666666666666664,Pré Des Saules,1031,Bellignat
QP001008,52.333333333333336,Brillat - Savarin,1034,Belley
QP001009,38.699999999999996,Maladière,1262,Montluel
QP002001,47.333333333333336,Europe,02571; 02691,Omissy; Saint-Quentin
QP002002,38.666666666666664,Faubourg D'Isle,2691,Saint-Quentin
QP002003,46.03333333333333,Neuville,2691,Saint-Quentin
QP002004,54.666666666666664,Vermandois,2691,Saint-Quentin
QP002005,48.9,Champ Roland Et Bords De L'Oise,2381,Hirson
QP002006,39.6,Gare Et Verrière,2381,Hirson
QP002007,46.76666666666667,Quartier De L'Artilleur,2304,La Fère
QP002008,51.333333333333336,Roosevelt Rebequet,2738,Tergnier
QP002009,56.86666666666667,Quartier De La Résidence,2173,Chauny
QP002010,48.03333333333333,Montreuil,2408,Laon
QP002011,59.4,Champagne Moulin - Roux,2408,Laon
QP002012,43.666666666666664,Saint-Crépin Ouest,2722,Soissons
QP002013,54.666666666666664,Presles,2722,Soissons
QP002014,65.5,Chevreux,2722,Soissons
QP002015,38.36666666666667,Route De Vivières,2810,Villers-Cotterêts
QP002016,41.4,Blanchard,2168,Château-Thierry
QP002017,46.166666666666664,Vaucrises,2168,Château-Thierry
QP003001,38.800000000000004,Coeur D'Agglo,03095; 03310,Cusset; Vichy
QP003002,41.43333333333334,Les Ailes,3310,Vichy
QP003003,39.56666666666666,Moulins-Sud,3190,Moulins
QP003004,40.76666666666667,Rive Gauche,3185,Montluçon
QP003005,44.1,Fontbouillant,03185; 03211,Montluçon; Prémilhat
QP003006,57.9,Bien-Assis,03101; 03185,Domérat; Montluçon
QP004001,41.300000000000004,Centre Ville - Pigeonnier,4070,Digne-les-Bains
QP004002,35.333333333333336,Centre Ville - Saint-Lazare,4112,Manosque
QP004003,44.333333333333336,Arc Serrets - Plantiers - Aliziers,4112,Manosque
QP005001,34.166666666666664,Haut - Gap,5061,Gap
QP006001,36.06666666666667,Las Planas,6088,Nice
QP006002,41.36666666666667,Coeur De Ville - Hauts De Vallauris,6155,Vallauris
QP006003,31.633333333333336,Ranguin-Frayère,06029; 06030,Cannes; Le Cannet
QP006004,30.03333333333333,Genêts - Oliviers - Saint-Pierre,06029; 06030,Cannes; Le Cannet
QP006005,37.73333333333333,Grand Centre,6069,Grasse
QP006006,38.06666666666667,Les Fleurs De Grasse,6069,Grasse
QP006007,37.06666666666666,La Condamine,6054,Drap
QP006008,29.066666666666666,Centre,6033,Carros
QP006010,45.86666666666667,Les Moulins - Le Point Du Jour,06088; 06123,Nice; Saint-Laurent-du-Var
QP006011,51.36666666666667,Les Sagnes,6088,Nice
QP006012,36.7,Centre,6088,Nice
QP006013,41.5,Paillon,6088,Nice
QP006014,45.0,Ariane - Le Manoir,06088; 06114; 06149,Nice; Saint-André-de-la-Roche; La Trinité
QP006016,44.666666666666664,Centre,6157,Vence
QP007001,46.43333333333334,Le Contrat Ville Des Quartiers D'Avenir D'Aubenas,7019,Aubenas
QP007002,36.666666666666664,Coeur De Ville,7319,Le Teil
QP007003,45.666666666666664,Sud Avenir,7319,Le Teil
QP007004,42.13333333333333,Les Hauts De Ville,7010,Annonay
QP007005,43.699999999999996,Nouvel Horizon,7186,Privas
QP008001,51.63333333333333,Manchester,8105,Charleville-Mézières
QP008002,57.53333333333333,Ronde Couture,8105,Charleville-Mézières
QP008003,48.6,La Houillère,8105,Charleville-Mézières
QP008004,40.233333333333334,La Couronne,8105,Charleville-Mézières
QP008005,47.833333333333336,Torcy Cités,8409,Sedan
QP008006,40.699999999999996,Torcy Centre,8409,Sedan
QP008007,49.833333333333336,Le Lac - Centre Ancien,8409,Sedan
QP008008,44.0,Coeur De Vie,8362,Rethel
QP009001,38.666666666666664,Coeur De Ville,9261,Saint-Girons
QP009002,37.733333333333334,Centre Ancien,9122,Foix
QP009003,40.5,Centre Ancien - La Gloriette,9225,Pamiers
QP010001,43.1,Gare,10387,Troyes
QP010002,35.36666666666667,Bords De Seine,10387,Troyes
QP010003,48.76666666666667,Chantereigne Montvilliers Beau-Toquat,10081; 10265; 10387,La Chapelle-Saint-Luc; Les Noës-près-Troyes; Troyes
QP010004,45.43333333333334,Debussy,10297,Pont-Sainte-Marie
QP010005,47.86666666666667,Maugout,10333,Saint-André-les-Vergers
QP010006,51.699999999999996,Chartreux,10060; 10343; 10387,Bréviandes; Saint-Julien-les-Villas; Troyes
QP010007,60.63333333333333,Jules Guesde,10387,Troyes
QP010008,56.43333333333334,Sénardes,10387,Troyes
QP010009,51.4,Point Du Jour,10387,Troyes
QP010010,53.43333333333334,Quartier Des Lumières - Alfred Boucher,10323,Romilly-sur-Seine
QP011001,41.46666666666667,Quartier Aude,11206,Limoux
QP011002,59.26666666666667,La Conte - Ozanam,11069,Carcassonne
QP011003,64.13333333333334,Le Viguier - Saint-Jacques,11069,Carcassonne
QP011004,40.300000000000004,Bastide Pont-Vieux,11069,Carcassonne
QP011005,47.96666666666667,Fleming La Reille,11069,Carcassonne
QP011006,48.199999999999996,Grazailles,11069,Carcassonne
QP011007,49.800000000000004,Narbonne Ouest,11262,Narbonne
QP011008,42.199999999999996,Narbonne Centre,11262,Narbonne
QP011009,46.9,Narbonne Est,11262,Narbonne
QP011010,43.1,Centre Ville,11203,Lézignan-Corbières
QP012001,42.266666666666666,Quatre Saisons,12176,Onet-le-Château
QP012002,46.86666666666667,La Bastide,12300,Villefranche-de-Rouergue
QP013001,59.199999999999996,Florida Parc,13054,Marignane
QP013002,29.833333333333332,Quartier Centre Ville,13014,Berre-l'Étang
QP013003,34.56666666666666,Saint Henri,13055,Marseille
QP013005,51.6,La Viste,13055,Marseille
QP013006,41.9,Roquecoquille,13027,Châteaurenard
QP013007,53.699999999999996,La Gavotte - Peyret,13106,Septèmes-les-Vallons
QP013008,44.96666666666667,Château Saint Loup,13055,Marseille
QP013009,41.4,La Capelette,13055,Marseille
QP013010,49.43333333333334,Griffeuille,13004,Arles
QP013011,48.199999999999996,Barriol,13004,Arles
QP013012,47.23333333333333,Le Trébon,13004,Arles
QP013013,53.0,Centre Historique - Ferrages,13108,Tarascon
QP013014,33.2,Jas-De-Bouffan,13001,Aix-en-Provence
QP013015,45.26666666666667,Beisson,13001,Aix-en-Provence
QP013016,38.06666666666666,Encagnane,13001,Aix-en-Provence
QP013017,44.300000000000004,Corsy,13001,Aix-en-Provence
QP013018,41.13333333333333,Secteur Centre,13117,Vitrolles
QP013019,34.36666666666667,La Frescoule,13117,Vitrolles
QP013020,34.0,Le Charrel,13005,Aubagne
QP013021,43.76666666666667,Mas de Pouane,13056,Martigues
QP013022,41.6,Notre Dame Des Marins,13056,Martigues
QP013023,33.96666666666666,Canto Perdrix,13056,Martigues
QP013024,42.46666666666667,Les Aigues Douces,13077,Port-de-Bouc
QP013025,33.6,Les Comtes,13077,Port-de-Bouc
QP013027,45.4,Centre Historique,13067,Orgon
QP013028,37.43333333333334,Quartier Béalet-Bessons-Mariélie,13014,Berre-l'Étang
QP013029,52.166666666666664,Les Canourgues,13103,Salon-de-Provence
QP013030,38.166666666666664,La Monaque,13103,Salon-de-Provence
QP013031,40.63333333333333,Centre ville,13054,Marignane
QP013032,51.06666666666666,Centre Ville Canet Arnavaux Jean Jaurès,13055,Marseille
QP013033,40.233333333333334,La Cravache Le Trioulet,13055,Marseille
QP013034,42.233333333333334,La Cayolle,13055,Marseille
QP013035,45.53333333333333,La Sauvagère,13055,Marseille
QP013036,49.833333333333336,Benza,13055,Marseille
QP013037,43.4,Saint Thys,13055,Marseille
QP013038,46.666666666666664,Air Bel,13055,Marseille
QP013039,46.666666666666664,La Rouguière,13055,Marseille
QP013040,49.300000000000004,Valbarelle Néréïdes Bosquet,13055,Marseille
QP013041,35.0,Les Escourtines,13055; 13070,Marseille; La Penne-sur-Huveaune
QP013042,57.9,Malpassé Corot,13055,Marseille
QP013043,41.266666666666666,Balustres Cerisaie,13055,Marseille
QP013044,52.96666666666667,Frais Vallon Le Clos La Rose,13055,Marseille
QP013045,47.800000000000004,Le Petit Séminaire,13055,Marseille
QP013046,51.5,La Marie,13055,Marseille
QP013047,40.93333333333333,Les Olives,13055,Marseille
QP013048,42.9,La Simiane La Paternelle,13055,Marseille
QP013049,55.26666666666667,Bon Secours Les Rosiers Marine Bleue Grand Saint Barthélémy Saint Jérôme,13055,Marseille
QP013050,50.5,Le Castellas Les Micocouliers Saint Joseph,13055,Marseille
QP013051,54.13333333333333,La Castellane La Bricarde Plan D'Aou Saint Antoine,13055,Marseille
QP013052,49.36666666666667,Consolat Ruisseau Mirabeau,13055,Marseille
QP013053,48.76666666666667,La Calade Campagne Lévèque,13055,Marseille
QP013054,59.63333333333333,Les Aygalades,13055,Marseille
QP013055,60.63333333333333,Kalliste La Granière La Solidarité,13055,Marseille
QP013056,60.26666666666667,La Savine,13055,Marseille
QP013057,50.4,Les Tilleuls La Maurelette,13055,Marseille
QP013058,52.56666666666666,La Cabucelle,13055,Marseille
QP013059,40.63333333333333,La Visitation - Bassens,13055,Marseille
QP013060,38.333333333333336,Saint André,13055,Marseille
QP013061,35.1,Le Prépaou,13047,Istres
QP013062,32.13333333333333,La Carraire,13063,Miramas
QP013063,43.03333333333333,La Maille,13063,Miramas
QP013064,34.86666666666667,La Soude Bengale,13055,Marseille
QP013065,35.6,Caillols La Moularde,13055,Marseille
QP014001,43.1,Chemin Vert,14118,Caen
QP014002,45.96666666666667,Grâce De Dieu,14118; 14271,Caen; Fleury-sur-Orne
QP014003,51.6,Guérinière,14118; 14341,Caen; Ifs
QP014004,47.63333333333333,Pierre Heuzé,14118,Caen
QP014005,38.06666666666666,Calvaire Saint Pierre,14118,Caen
QP014007,36.6,Grande Delle - Val - Belles Portes - Grand Parc - Haute Folie,14327,Hérouville-Saint-Clair
QP014008,45.9,Canteloup - Marronniers - Honfleur,14333,Honfleur
QP014009,46.333333333333336,Hauteville,14366,Lisieux
QP015001,41.6,Aurillac Sud,15014,Aurillac
QP016001,53.666666666666664,Basseau - Grande Garenne,16015,Angoulême
QP016002,46.333333333333336,Ma Campagne,16015,Angoulême
QP016003,46.46666666666667,Bel Air - La Grand Font,16015,Angoulême
QP016004,38.800000000000004,L'Etang Des Moines,16113,La Couronne
QP016005,52.833333333333336,Champ De Manoeuvre,16374,Soyaux
QP016006,51.23333333333333,Crouin,16102,Cognac
QP017001,39.166666666666664,Mireuil,17300,La Rochelle
QP017002,43.73333333333333,Villeneuve-Les-Salines,17300,La Rochelle
QP017003,53.46666666666667,Bellevue - Boiffiers,17415,Saintes
QP017004,36.23333333333333,Centre Ville - Avant-Garde,17299,Rochefort
QP017005,47.9,Le Petit Marseille,17299,Rochefort
QP017006,36.93333333333334,Eco quartier l'Yeuse-La Robinière,17306,Royan
QP017007,35.6,Port-Neuf,17300,La Rochelle
QP018001,46.93333333333334,Bourges Nord,18033,Bourges
QP018002,44.96666666666667,Val D'Auron - Bourges,18033,Bourges
QP018003,42.199999999999996,Le Vernet - Saint Amand Montrond,18197,Saint-Amand-Montrond
QP018004,47.93333333333334,Clos Du Roy - Centre Ville - Vierzon,18279,Vierzon
QP019001,41.266666666666666,Rivet,19031,Brive-la-Gaillarde
QP019002,43.1,Tujac,19031,Brive-la-Gaillarde
QP019003,38.9,Les Chapélies,19031,Brive-la-Gaillarde
QP021002,37.96666666666667,Le Mail,21166,Chenôve
QP021003,38.300000000000004,Fontaine D'Ouche,21231,Dijon
QP021004,44.43333333333334,Les Grésilles,21231,Dijon
QP021005,39.46666666666667,Le Bief Du Moulin,21355,Longvic
QP021006,36.1,Le Belvédère,21617,Talant
QP022001,40.63333333333333,Ar Santé - Les Fontaines,22113,Lannion
QP022002,40.800000000000004,Ker Uhel,22113,Lannion
