CodGeo,Note,nbLsPls,nbLsMes,txVac,txVac3m,txRot,txLsCol,txLsInd,txLs1p,txLs2p,txLs3p,txLs4p,txLs5pp,txLsm30,txLs30a40,txLs40a60,txLs60a80,txLs80a100,txLs100a120,txLs120p,txLsAv49,txLs49a75,txLs76a88,txLs89a00,txLs01a13,txLsAp13,txLsPlai,txLsPlusAv77,txLsPlusAp77,txLsPls,txLsPli,moyLoy,q1Loy,medLoy,q3Loy
QP001001,0,2493.0,,"4,8","3,6","10,3","95,5","4,5","6,9","21,5","33,3","31,9","6,5","2,5","5,4","26,5",47,"17,4",,,"1,9","70,3","19,2",3,"4,3","1,4",,"81,3","16,4",,"1,4","5,57","5,07","5,43","5,97"
QP001002,0,1035.0,,"3,7","2,1","9,4",,,"14,5","27,1","35,3",17,"6,2",,"12,8","29,9","41,4","14,7",,,,,"52,3",,,,,,,,,"5,05","4,66","5,1","5,54"
QP001003,0,445.0,,,,"9,7",,,"4,9","24,7","30,6","31,5","8,3",,"4,5",27,"33,5","32,4",,,,"10,8","73,3",9,,,,"37,8","55,5",,,"6,2","5,56","6,01","6,39"
QP001004,0,439.0,,,,"5,6",,,"5,9","17,5","25,7","33,9","16,9",,"5,9","18,5","27,1","44,6",,,,"66,1",,,,"20,5",,"79,5","10,3",,,"5,9","5,42","5,72","6,34"
QP001005,0,611.0,,,,"9,2",,,,"12,1","43,5","35,2",,,"3,6","21,4","53,5","18,8",,,,"63,3","7,5",,"15,7","8,7","4,4","53,7","32,4","4,6","4,9","5,35","4,75","5,06","5,7"
QP001006,0,1763.0,,"2,6","1,7","7,7",,,"1,6","13,8",40,"33,5","11,1",,"1,6","28,2","55,1","14,4",,,,,,,,,,,,,,"4,75","4,32","4,75","5,18"
QP001007,0,427.0,,,,"8,3",,,"12,2",22,"37,7","19,4","8,7",,,"20,8","49,4","15,9","7,7",,,,,,,,,,"68,1",,,"4,94","4,56",5,"5,36"
QP001008,0,421.0,,6,4,"8,8",,,"5,9","13,3","44,2","29,5","7,1",,,"26,6",57,"10,5",,,,"94,8",,,,,,"94,8",,,,"4,51","4,23","4,6","4,78"
QP001009,0,342.0,,,,"6,7",,,"6,7","32,2","32,7","18,1","10,2",,"6,7","35,1","46,2","8,2",,,,,"61,1",,,,,,,,,"5,11","4,64","5,14","5,74"
QP002001,0,2360.0,,2,"1,1","9,9","98,4","1,6","0,8",21,43,"30,8","4,4",,"0,7","24,1","67,2","7,3",,,,"87,8","10,3",,,,,"92,8","5,6",,,"5,13","4,72","4,99","5,28"
QP002002,0,621.0,,"2,2",,"11,9","80,4","19,6","9,7","29,3","35,3","19,2","6,6",,"6,4","26,1","41,9","15,1","7,1",,,,"34,8","43,5","16,1",,"13,7","17,2","65,5",,,"5,56","4,98","5,43","6,01"
QP002003,0,696.0,,"2,8",,"11,4","94,8","5,2",,,"65,8",24,,,,"9,1","85,3",,,,,"97,6",,,,,,,,,,"4,89","4,76","4,94","5,14"
QP002004,0,666.0,,"3,9",2,10,"89,6","10,4",,"16,4","58,4","20,1",,,"7,2","63,5","22,2",,,,,"89,2",,,"7,5",,"5,3",89,,3,,"5,53","5,12","5,64","5,78"
QP002005,0,402.0,,"6,8",5,"18,8",91,9,"5,2","22,4","35,3","30,1",7,,,"26,6",55,,,,,"40,3","47,3",,"6,7",,,"82,3","14,7",,,"4,8","4,46","4,67","4,89"
QP002006,0,104.0,,,,,"87,5","12,5",,"18,3","41,3","20,2",,,,"43,3","23,1","15,4",,,,,,,,,,"28,8",,49,,"5,32","4,69","5,08","5,96"
QP002007,0,285.0,,"10,1","8,9","15,5","82,8","17,2",,,"24,2","46,3","24,2",,,"20,7","44,6","29,1",,,,"66,7",,"18,6",,,,"66,7",,,,"5,13","4,8","4,98","5,78"
QP002008,0,409.0,,"18,1",13,"14,4","87,3","12,7","3,7","12,7","41,3","29,3",13,,,"44,5","27,6","14,7","9,5",,,"87,5",,,,,,"87,3",,,,"5,02","4,49","4,92","5,42"
QP002009,0,839.0,,"2,7","1,6","11,5",97,3,,"24,4","33,6","32,2",,,,"37,5",46,"15,1",,,,"81,9",,,,,,92,,,,"5,1","4,53","5,03","5,61"
QP002010,0,704.0,,"3,8",,"13,5",,,"2,4","24,3","36,8","24,6","11,9",,"10,8","26,7","49,9","10,4",,,,"92,9",,"4,3",,,,"92,9",,,,"5,12","4,64","4,99","5,43"
QP002011,0,1688.0,,"9,5","6,7","12,7",,,"0,8","13,1","27,8","40,5","17,8",,"1,2","15,9","54,3","23,9","3,9",,,"91,9",,,,,,,,,,"4,61","4,35","4,54","4,72"
QP002012,0,1192.0,,"5,1","3,6","10,5","72,1","27,9","3,6","27,7","43,4","18,9","6,5",,"16,7","57,6","20,6","2,9",,,,"96,5",2,,,,,"98,5",,,,"5,08","4,69","4,98","5,29"
QP002013,0,2170.0,,"1,6",,"10,4",,,"5,4",16,"38,1","31,7","8,8","3,3","1,9","16,4","64,9","12,8",,,,"88,5","10,8",,,,,"99,3",,,,"4,65","4,3","4,61","4,95"
QP002014,0,446.0,,,,"8,5","89,2","10,8","5,6","19,1","30,3","28,7","16,4",,,"18,2","39,2","26,9","10,1",,,,"83,2",,,,,,"86,5",,,"5,06","4,67","4,89","5,28"
QP002015,0,503.0,,,,"9,7","97,8","2,2","2,8","16,1","38,6","39,2","3,4",,,"29,4","60,6","6,8",,,,73,"19,3",,,,,"79,9","16,9",,,"5,62","4,85","5,59","6,22"
QP002016,0,492.0,,"4,6","4,3","14,3","93,3","6,7",,,"44,3","29,7","13,2",,,,"65,4","22,2",,,,"33,1","48,8","14,4",,,,"81,7","13,6",,,"5,19","4,73","5,01","5,54"
QP002017,0,734.0,,,,"14,4",,,,"12,4","37,7","43,7",,,,"25,9","65,8",,,,,"92,6",,,,,,89,"9,4",,,"5,05","4,57","5,02","5,43"
QP003001,0,715.0,,,,"14,9",,,"1,7",22,"52,2",22,"2,2",,7,"49,8","37,8",,,,,"66,3",,,"24,6",,,"66,3","23,6","5,6",,"5,31","4,8","5,31","5,89"
QP003002,0,835.0,,"3,6","2,5","6,2",,,4,"6,6",43,"42,4","4,1",,,"37,8","49,9","8,3",,,,"68,4","24,1",,,"4,8",,"83,5",,,,"5,41","5,06","5,5","5,66"
QP003003,0,1751.0,,"8,5","8,4",,"95,1","4,9","3,2","17,6","41,6","32,7","4,9",,"2,7","21,6","51,4","22,3",,,,"60,4","32,8",,,,,"93,2","5,7",,,"4,8","4,4","4,7","5,13"
